Country,City,House_Type,Income_Level,Market_Status,PPP_Index,Price_2015,Price_2020,Price_2025,Growth_Rate_%,Inflation_%,Interest_Rate_%,Population_Growth_%,Inaffordability_Ratio
Indonesia,Surabaya,Villa,Middle,Stable,0.64,477821,694082,1008221,9.05,5.59,2.4,1.05,3.52
Brazil,Rio de Janeiro,Apartment,Middle,Stable,1.08,320502,461343,664076,8.79,2.12,9.73,3.41,4.91
Japan,Yokohama,Apartment,High,Booming,0.46,132532,161336,196399,4.35,5.15,4.89,1.52,8.51
UAE,Sharjah,Apartment,Middle,Stable,0.43,181465,227103,284220,5.03,4.74,8.07,1.2,7.63
Germany,Berlin,Townhouse,Middle,Declining,0.83,70903,98140,135840,7.68,3.02,1.59,3.82,11.69
Indonesia,Jakarta,Villa,Middle,Declining,1.03,187076,206480,227896,2.07,6.11,4.96,0.93,7.46
Australia,Sydney,Villa,Low,Declining,0.33,459194,547511,652813,3.85,5.98,3.81,2.32,7.92
China,Shanghai,Condo,High,Stable,0.47,486313,717955,1059934,9.53,7.64,9.05,2.59,11.3
UAE,Abu Dhabi,Villa,Low,Stable,0.38,138192,148539,159661,1.5,3.95,4.5,1.45,10.46
Saudi Arabia,Dammam,Condo,Middle,Declining,0.62,176421,237900,320804,6.97,2.85,8.22,0.76,11.88
South Africa,Cape Town,Apartment,High,Stable,1,139422,146817,154603,1.06,6.89,7.36,3.05,9.94
Mexico,Monterrey,Villa,Low,Stable,0.37,211310,235341,262106,2.27,7.18,6.61,1.66,3.57
USA,Kazan,Condo,Middle,Stable,0.58,196332,284934,413520,9.03,5.83,8.98,2.15,4.08
Mexico,Mexico City,Townhouse,High,Booming,0.94,392353,533091,724313,7.17,6.63,5.44,2.33,6.85
South Africa,Cape Town,Villa,Middle,Stable,0.32,98551,105182,112260,1.35,5.82,3.83,2.28,11.17
Germany,Munich,Villa,High,Stable,0.52,234672,343925,504040,9.31,3.37,1.69,1.51,4.45
Brazil,Rio de Janeiro,Apartment,High,Booming,1.14,413654,578442,808878,7.97,7.23,8.23,1.15,11.03
Japan,Osaka,Townhouse,Low,Declining,0.79,413348,637734,983928,10.86,3.91,1.99,1.3,6.84
UK,London,Apartment,Low,Declining,1.04,437329,460867,485673,1.08,5.06,4.76,1.28,4.08
India,Mumbai,Villa,High,Booming,0.6,474309,582339,714973,4.56,5.11,7.33,1.77,11.75
UK,London,Apartment,Low,Declining,1.17,163302,216128,286043,6.47,3.81,3.56,0.63,8.49
Mexico,Guadalajara,Apartment,Low,Booming,0.75,73165,88037,105931,4.07,7.45,3.16,1.01,7.41
South Korea,Seoul,Villa,High,Booming,1.19,158925,225622,320309,8.39,6.57,3.14,3.05,6.31
South Africa,Cape Town,Townhouse,Middle,Stable,0.87,335088,450585,605891,6.89,2.54,8.52,1.62,4.68
Australia,Brisbane,Villa,Low,Stable,0.34,315902,449421,639373,8.45,2.1,5.61,1.29,8.81
